report_date,cert,total_assets,borrowings
2023-12-31,30367.0,503.0,0.0
2023-12-31,9313.0,33.0,-3.0
2023-12-31,9865.0,27.0,0.0
2023-12-31,2467.0,160.0,0.0
2023-12-31,1487.0,3014.0,-317.0
2023-12-31,11807.0,2535.0,0.0
2023-12-31,12978.0,1857.0,-122.0
2023-12-31,3845.0,66.0,0.0
2023-12-31,13622.0,14068.0,-382.0
2023-12-31,13274.0,28.0,0.0
2023-12-31,1913.0,376.0,-104.0
2023-12-31,8487.0,94.0,0.0
2023-12-31,2468.0,1952.0,296.0
2023-12-31,1365.0,1976.0,-15.0
2023-12-31,4062.0,5722.0,-1074.0
2023-12-31,26395.0,5154.0,0.0
2023-12-31,406.0,55.0,-26.0
2023-12-31,10197.0,205.0,0.0
2023-12-31,29357.0,352.0,0.0
2023-12-31,11475.0,152.0,-21.0
2023-12-31,26512.0,132.0,0.0
2023-12-31,23986.0,18.0,0.0
2023-12-31,15566.0,3593.0,-177.0
2023-12-31,15348.0,16.0,0.0
2023-12-31,28769.0,35.0,0.0
2023-12-31,21486.0,115.0,-52.0
2023-12-31,26962.0,27319.0,-1009.0
2023-12-31,14960.0,330.0,0.0
2023-12-31,4067.0,384.0,0.0
2023-12-31,28778.0,526.0,-23.0
2023-12-31,23007.0,2107.0,-30.0
2023-12-31,3087.0,532.0,-2.0
2023-12-31,19899.0,13432.0,0.0
2023-12-31,26484.0,4620.0,58.0
2023-12-31,6985.0,18537.0,-1.0
2023-12-31,20818.0,7703.0,7.0
2023-12-31,15532.0,109.0,0.0
2023-12-31,19772.0,8776.0,-125.0
2023-12-31,12761.0,953.0,-250.0
2023-12-31,10965.0,290.0,-270.0
2023-12-31,19285.0,706.0,-297.0
2023-12-31,28793.0,108.0,0.0
2023-12-31,13788.0,35.0,0.0
2023-12-31,26513.0,169.0,0.0
2023-12-31,6600.0,83292.0,-1226.0
2023-12-31,1931.0,776.0,0.0
2023-12-31,16030.0,227.0,0.0
2023-12-31,1484.0,346.0,-108.0
2023-12-31,10973.0,4055.0,0.0
2023-12-31,15928.0,118.0,0.0
2023-12-31,8693.0,303.0,0.0
2023-12-31,4728.0,91.0,-1.0
2023-12-31,10568.0,434.0,0.0
2023-12-31,28812.0,851.0,0.0
2023-12-31,3103.0,2403.0,0.0
2023-12-31,12229.0,41076.0,-3001.0
2023-12-31,18389.0,311.0,-82.0
2023-12-31,14399.0,52.0,0.0
2023-12-31,31694.0,23.0,0.0
2023-12-31,13020.0,366.0,0.0
2023-12-31,20026.0,775.0,0.0
2023-12-31,17369.0,91.0,-495.0
2023-12-31,10967.0,332.0,0.0
2023-12-31,12299.0,2431.0,0.0
2023-12-31,10969.0,122.0,0.0
2023-12-31,4084.0,2602.0,0.0
2023-12-31,28818.0,1204.0,0.0
2023-12-31,16333.0,350.0,0.0
2023-12-31,6275.0,210.0,0.0
2023-12-31,5628.0,27.0,-31.0
2023-12-31,8898.0,387.0,0.0
2023-12-31,26336.0,18495.0,0.0
2023-12-31,2767.0,811.0,0.0
2023-12-31,3248.0,56.0,0.0
2023-12-31,17773.0,241.0,0.0
2023-12-31,15346.0,108.0,0.0
2023-12-31,28834.0,25934.0,-10847.0
2023-12-31,4087.0,181.0,0.0
2023-12-31,11595.0,1530.0,23.0
2023-12-31,13611.0,93.0,0.0
2023-12-31,618.0,250.0,-11.0
2023-12-31,12944.0,11843.0,107.0
2023-12-31,9462.0,1598.0,-403.0
2023-12-31,5699.0,21.0,-4.0
2023-12-31,11569.0,8898.0,46.0
2023-12-31,4398.0,607.0,8.0
2023-12-31,22549.0,8.0,0.0
2023-12-31,17572.0,205.0,0.0
2023-12-31,6280.0,23.0,0.0
2023-12-31,16868.0,32.0,0.0
2023-12-31,1068.0,19380.0,-111.0
2023-12-31,13716.0,8424.0,0.0
2023-12-31,11601.0,772.0,0.0
2023-12-31,14415.0,217.0,0.0
2023-12-31,8140.0,31.0,-904.0
2023-12-31,24922.0,2792.0,0.0
2023-12-31,10127.0,3574.0,-274.0
2023-12-31,8250.0,103.0,0.0
2023-12-31,90181.0,688.0,0.0
2023-12-31,8762.0,37.0,0.0
2023-12-31,22621.0,140.0,0.0
2023-12-31,10788.0,622.0,0.0
2023-12-31,5548.0,425.0,0.0
2023-12-31,3126.0,7155.0,66.0
2023-12-31,21606.0,4146.0,-3319.0
2023-12-31,26634.0,2139.0,0.0
2023-12-31,4756.0,80.0,0.0
2023-12-31,3255.0,1155.0,-176.0
2023-12-31,2308.0,97.0,0.0
2023-12-31,4098.0,4.0,0.0
2023-12-31,232.0,79.0,0.0
2023-12-31,1073.0,2131.0,0.0
2023-12-31,6892.0,6012.0,-134.0
