report_date,cert,institution,total_deposits,interest_bearing_cash,noninterest_cash
2023-12-31,1167.0,UINTA BANK,222934.0,1365.0,29892.0
2023-12-31,28359.0,"OCEANFIRST BANK, NATIONAL ASSOCIATION",10491590.0,87962.0,61380.0
2023-12-31,12609.0,PATTERSON STATE BANK,319267.0,14121.0,18812.0
2023-12-31,14597.0,UNION BANK,311665.0,6281.0,16797.0
2023-12-31,29613.0,ROSEDALE FEDERAL SAVINGS AND LOAN ASSOCIATION,953487.0,4706.0,112347.0
2023-12-31,12836.0,FIRST STATE BANK OF PORTER,137950.0,3033.0,0.0
2023-12-31,4952.0,FIRST NATIONAL BANK OF MIDDLE TENNESSEE,756687.0,6197.0,64448.0
2023-12-31,31539.0,"WILMINGTON SAVINGS BANK, THE",156107.0,647.0,13988.0
2023-12-31,28368.0,"MIDDLESEX FEDERAL SAVINGS, F.A.",593620.0,715.0,41369.0
2023-12-31,16418.0,BANKSOUTH,1042349.0,5461.0,89077.0
2023-12-31,10960.0,JANESVILLE STATE BANK,75850.0,1410.0,5644.0
2023-12-31,16895.0,FIRST STATE BANK OF BEDIAS,166968.0,6856.0,11001.0
2023-12-31,18740.0,HEARTLAND BANK,651837.0,15077.0,4374.0
